#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-02T06:03:28 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-02T06:03:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/527/7438/catalog&-out=Plateifu&-out=logMstar&-out=VelST1Re&-out=e_VelST1Re&-out=VsigST1Re&-out=VelG1Re&-out=e_VelG1Re&-out=VsigG1Re&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75277438
#Name: J/MNRAS/527/7438
#Title: MaNGA kinematic catalogue (Ristea+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	creator=Ristea A.	    First author or institution
#INFO	cites=bibcode:2024MNRAS.527.7438R	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/527/7438	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75277438	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_527_7438_catalog:
#Name: J/MNRAS/527/7438/catalog
#Title: Catalogue of the kinematic properties of MaNGA DR17 galaxies
#Column	Plateifu	(A11)	Plate-ifu of the observation, the same as in drpall_v3_1_1 (plateifu)	[ucd=obs.field]
#Column	logMstar	(F6.3)	log of the stellar mass (log_Mstar)	[ucd=phys.mass]
#Column	VelST1Re	(F19.15)	? Stellar rotational velocity at 1Re from the centred and inclination-corrected rotation curve (Vel_ST_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1Re	(F20.16)	? Error in stellar rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_1Re)	[ucd=stat.error]
#Column	VsigST1Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VelG1Re	(F19.15)	? Ionised gas rotational velocity at 1Re, from the centred and inclination-corrected rotation curve (Vel_G_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1Re	(F19.16)	? Error in ionised gas rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1Re)	[ucd=stat.error]
#Column	VsigG1Re	(D23.16)	? Ionised gas rotational velocity to dispersion ratio integrated within 1Re (Vsig_G_1Re)	[ucd=phys.veloc;arith.diff]
Plateifu	logMstar	VelST1Re	e_VelST1Re	VsigST1Re	VelG1Re	e_VelG1Re	VsigG1Re
 	[Msun]	km/s	km/s	 	km/s	km/s	
-----------	------	-------------------	--------------------	-------------------	-------------------	-------------------	-----------------------
  8723-3704	10.112	101.499475073832429	 11.3490589447358925	 0.4737608231779808	                   	                   	
  9028-1901	10.562	 86.446586560391978	 17.5501148108609044	 0.1370090646266516	                   	                   	
  8720-3704	10.748	150.339058958741077	 17.7851312805151309	 0.2491063738208399	                   	                   	
 11967-3704	10.364	116.907019572289869	 15.2211404622597488	 0.4236912197920272	158.776254846353993	 9.0793578755408735	 1.0434528428089529e+00
  9091-3703	10.512	127.972876766431639	 14.1294044437741793	 0.2675242138894796	                   	                   	
  9028-3702	10.662	113.412504633210304	 11.1757411658140704	 0.4126918806374155	                   	                   	
  8254-3703	 9.814	 78.232160130589335	 16.9287462418867456	 0.5416409977735729	                   	                   	
 11941-3701	11.182	115.974565623652055	 15.4548740226468961	 0.1965738428239684	                   	                   	
  9085-3701	10.536	112.401786757407038	  9.3461834014327039	 0.3047697903525862	                   	                   	
 11942-1902	10.542	121.325211634558528	 15.9832330744116433	 0.2007227513483982	241.031452405072002	66.1180297570366662	 9.4762762153438762e-01
 10840-1901	 9.866	 83.197733114796847	 39.3999686448294142	 0.3460867375949210	 75.686203942575887	52.9058284825950622	 4.2726904639674329e-01
  7495-1902	 9.930	 70.677866976877141	 23.6744324601332394	 0.4411396864794866	                   	                   	
 11761-1901	 9.807	                   	                    	                   	 91.959239600269683	 9.4049407930426412	 1.0330358793823684e+00
  8984-1901	10.559	166.050036501050386	 15.5790730484682118	 0.2133853474509685	                   	                   	
  8979-3701	 9.712	                   	                    	                   	 65.332213308751207	 9.2302782748503738	 6.6829588438318177e-01
 12075-3703	10.351	 80.280528051623790	 41.1172968109487798	 0.2765759494929762	                   	                   	
 10517-6101	10.760	185.089649021575241	 16.9895527069511658	 0.2601762261767922	                   	                   	
 11983-1901	10.259	 78.970208218303100	 46.0004340933460156	 0.2317872987331501	122.645003531429126	 7.0000000000000000	 6.6365094430305671e-01
  8310-3703	10.769	 45.998517821745139	 24.5627028322747165	 0.0639718446165254	                   	                   	
  8481-3703	10.270	110.282809234550129	 20.4133609293735034	 0.3802908519586589	                   	                   	
 12087-3703	10.009	 68.428237189914825	 36.2266369805619846	 0.3401217604476333	 87.653929549500134	 8.0677271397097066	 1.0745379354281068e+00
 10505-3701	11.012	177.332005159878861	 15.5906529680352328	 0.2863850776858576	                   	                   	
  8568-3702	10.684	104.725824844642830	 16.7392035001591708	 0.2634190974937448	                   	                   	
 12620-3704	 9.798	                   	                    	                   	 97.040119200084618	10.9043020837186067	 1.4499684905159993e+00
 11752-3703	10.560	                   	                    	                   	245.995744987284525	29.1933839720334447	 6.0036116798775263e-01
 11969-3701	10.638	143.854222445687583	 11.7626050592984051	 0.2736750978534166	                   	                   	
  8097-3702	10.369	106.717539877953925	  9.0738661913079994	 0.4275064911871703	                   	                   	
  8719-1901	 9.820	 53.374875774731265	 26.7436388460842736	 0.1421602299479357	                   	                   	
  9035-3701	 9.814	 41.956268392501315	 35.5918591357615384	 0.2492208501122811	 71.686999333379404	 7.9223296314965772	 7.5653279059099343e-01
  9492-3702	10.478	144.839037013731570	 12.1120082608488371	 0.3472921010424350	 50.354873087087554	36.8356392512193338	 1.6032805679987266e-01
  7957-1902	10.546	121.190136817524404	 41.9047754309063336	 0.2015471292499766	                   	                   	
 12622-1902	 9.973	 92.446734362960726	 41.1158274559370795	 0.2508988898459073	                   	                   	
  8097-3704	 9.548	                   	                    	                   	 61.237097635520357	 7.3851403404619322	 9.1335105541639749e-01
 11981-3702	 9.595	                   	                    	                   	 87.955109105092404	 7.0000000000000000	 1.1477659085502889e+00
  8617-3701	10.777	148.721173759991302	 10.4005454548497518	 0.3142869128699651	                   	                   	
  9035-3703	 9.471	                   	                    	                   	 49.811094006567814	 7.6973433376710672	 6.7232148296801852e-01
  8553-3704	10.066	                   	                    	                   	134.151750996469843	 8.1455989068892016	 1.1427221499975719e+00
  8447-3703	10.683	                   	                    	                   	230.328732892451683	 9.1997363083595189	 1.6892887585187839e+00
  9088-3703	10.585	127.231159176076218	 14.2128967166345159	 0.3555927609371076	103.070021678700726	46.0350571853954449	 4.0399792091258541e-01
  7963-3701	10.689	189.230056395998417	 32.9271784318532639	 0.3296544185377164	214.813756618731446	93.2529005272458704	 4.1797290878497445e-01
 11011-3704	10.779	142.967785212367232	  9.6348166962016890	 0.3498220578863211	                   	                   	
