#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-02T06:14:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-02T06:14:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/527/7438/catalog&-out=MaNGA&-out=logMstar&-out=VelG1Re&-out=e_VelG1Re&-out=VsigST1Re&-out=VelST1Re&-out=e_VelST1Re&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75277438
#Name: J/MNRAS/527/7438
#Title: MaNGA kinematic catalogue (Ristea+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	creator=Ristea A.	    First author or institution
#INFO	cites=bibcode:2024MNRAS.527.7438R	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/527/7438	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75277438	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_527_7438_catalog:
#Name: J/MNRAS/527/7438/catalog
#Title: Catalogue of the kinematic properties of MaNGA DR17 galaxies
#Column	MaNGA	(A9)	MaNGA ID of the galaxy, the same as in drpall_v3_1_1 (mangaid)	[ucd=meta.id.parent]
#Column	logMstar	(F6.3)	log of the stellar mass (log_Mstar)	[ucd=phys.mass]
#Column	VelG1Re	(F19.15)	? Ionised gas rotational velocity at 1Re, from the centred and inclination-corrected rotation curve (Vel_G_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1Re	(F19.16)	? Error in ionised gas rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1Re)	[ucd=stat.error]
#Column	VsigST1Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VelST1Re	(F19.15)	? Stellar rotational velocity at 1Re from the centred and inclination-corrected rotation curve (Vel_ST_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1Re	(F20.16)	? Error in stellar rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_1Re)	[ucd=stat.error]
MaNGA	logMstar	VelG1Re	e_VelG1Re	VsigST1Re	VelST1Re	e_VelST1Re
 	[Msun]	km/s	km/s	 	km/s	km/s
---------	------	-------------------	-------------------	-------------------	-------------------	--------------------
  1-47429	10.112	                   	                   	 0.4737608231779808	101.499475073832429	 11.3490589447358925
 1-269227	10.562	                   	                   	 0.1370090646266516	 86.446586560391978	 17.5501148108609044
 1-351692	10.748	                   	                   	 0.2491063738208399	150.339058958741077	 17.7851312805151309
 1-335450	10.364	158.776254846353993	 9.0793578755408735	 0.4236912197920272	116.907019572289869	 15.2211404622597488
 1-265124	10.512	                   	                   	 0.2675242138894796	127.972876766431639	 14.1294044437741793
 1-269212	10.662	                   	                   	 0.4126918806374155	113.412504633210304	 11.1757411658140704
 1-276550	 9.814	                   	                   	 0.5416409977735729	 78.232160130589335	 16.9287462418867456
 1-135165	11.182	                   	                   	 0.1965738428239684	115.974565623652055	 15.4548740226468961
 1-178473	10.536	                   	                   	 0.3047697903525862	112.401786757407038	  9.3461834014327039
 1-569171	10.542	241.031452405072002	66.1180297570366662	 0.2007227513483982	121.325211634558528	 15.9832330744116433
  1-76744	 9.866	 75.686203942575887	52.9058284825950622	 0.3460867375949210	 83.197733114796847	 39.3999686448294142
12-129608	 9.930	                   	                   	 0.4411396864794866	 70.677866976877141	 23.6744324601332394
 1-152010	 9.807	 91.959239600269683	 9.4049407930426412	                   	                   	
 1-395547	10.559	                   	                   	 0.2133853474509685	166.050036501050386	 15.5790730484682118
 1-248410	 9.712	 65.332213308751207	 9.2302782748503738	                   	                   	
  1-33876	10.351	                   	                   	 0.2765759494929762	 80.280528051623790	 41.1172968109487798
  1-78715	10.760	                   	                   	 0.2601762261767922	185.089649021575241	 16.9895527069511658
  1-22648	10.259	122.645003531429126	 7.0000000000000000	 0.2317872987331501	 78.970208218303100	 46.0004340933460156
 1-516559	10.769	                   	                   	 0.0639718446165254	 45.998517821745139	 24.5627028322747165
  1-91747	10.270	                   	                   	 0.3802908519586589	110.282809234550129	 20.4133609293735034
 1-117781	10.009	 87.653929549500134	 8.0677271397097066	 0.3401217604476333	 68.428237189914825	 36.2266369805619846
 1-300705	11.012	                   	                   	 0.2863850776858576	177.332005159878861	 15.5906529680352328
 1-392862	10.684	                   	                   	 0.2634190974937448	104.725824844642830	 16.7392035001591708
 1-395713	 9.798	 97.040119200084618	10.9043020837186067	                   	                   	
  1-54970	10.560	245.995744987284525	29.1933839720334447	                   	                   	
 1-560594	10.638	                   	                   	 0.2736750978534166	143.854222445687583	 11.7626050592984051
  1-42463	10.369	                   	                   	 0.4275064911871703	106.717539877953925	  9.0738661913079994
 1-548191	 9.820	                   	                   	 0.1421602299479357	 53.374875774731265	 26.7436388460842736
 1-247714	 9.814	 71.686999333379404	 7.9223296314965772	 0.2492208501122811	 41.956268392501315	 35.5918591357615384
 1-297924	10.478	 50.354873087087554	36.8356392512193338	 0.3472921010424350	144.839037013731570	 12.1120082608488371
 1-547135	10.546	                   	                   	 0.2015471292499766	121.190136817524404	 41.9047754309063336
 1-420769	 9.973	                   	                   	 0.2508988898459073	 92.446734362960726	 41.1158274559370795
  1-42273	 9.548	 61.237097635520357	 7.3851403404619322	                   	                   	
 1-294260	 9.595	 87.955109105092404	 7.0000000000000000	                   	                   	
 1-180614	10.777	                   	                   	 0.3142869128699651	148.721173759991302	 10.4005454548497518
 1-247871	 9.471	 49.811094006567814	 7.6973433376710672	                   	                   	
  1-91019	10.066	134.151750996469843	 8.1455989068892016	                   	                   	
 1-260823	10.683	230.328732892451683	 9.1997363083595189	                   	                   	
 1-265618	10.585	103.070021678700726	46.0350571853954449	 0.3555927609371076	127.231159176076218	 14.2128967166345159
 1-178906	10.689	214.813756618731446	93.2529005272458704	 0.3296544185377164	189.230056395998417	 32.9271784318532639
 1-197647	10.779	                   	                   	 0.3498220578863211	142.967785212367232	  9.6348166962016890
 1-392010	10.676	                   	                   	 0.2607145736107532	107.953528023939469	 13.1746865613375626
 1-182781	11.025	                   	                   	 0.1121142957328162	 69.727567017376018	 35.1147324750687204
 1-286772	10.031	116.845888081507610	 7.1494639303308052	 0.5008369195864356	107.133598863680348	 13.0123503833743666
 1-183195	10.109	                   	                   	 0.2930404820497762	 99.577311311242553	 48.1527266645860692
 1-229879	10.558	182.065699806872232	 9.4350133203415893	                   	                   	
 1-548036	10.939	                   	                   	 0.1742605056974604	166.889395554177156	 14.4232703522022572
  1-97372	 9.694	 95.663193281773133	 9.2420583650535200	                   	                   	
  1-97312	10.892	                   	                   	 0.2207040171230328	152.448477891847688	 64.5717976297694065
 1-179981	 9.727	                   	                   	 0.3786842964661787	 71.386059865119819	 47.6940796274064382
  1-24156	10.409	                   	                   	 0.1942187684502292	 88.963760059533456	 18.3748267532969933
