dataset,template,z,q2p5,q16,median,q84,q97p5
pantheonplus,sqrt_rhoDE,0.33,1.008218380315277,1.021226483383883,1.035790592246749,1.0505063483816297,1.0650669101635222
pantheonplus,H_over_H0,0.33,1.1918022932359094,1.2016225163112353,1.2128373549074751,1.2242904633330087,1.2351253909464595
pantheonplus,sqrt_rhoDE,1.0,0.9322497957729167,0.9610933343327112,0.9911924740382657,1.0176886172956436,1.0462203053114658
pantheonplus,H_over_H0,1.0,1.738161097315651,1.7593799197615023,1.7792925530267427,1.7997008471196407,1.8176605368525887
pantheonplus,sqrt_rhoDE,1.44,0.8526583093730785,0.8965850720984279,0.9409245911117413,0.9820380175437609,1.0249958203257457
pantheonplus,H_over_H0,1.44,2.214782135344623,2.240833082487837,2.265612442079508,2.2906022670026456,2.314323735502428
pantheonplus,sqrt_rhoDE,2.0,0.7519763765790127,0.8141964455214407,0.8787233892838819,0.9389021806978374,0.997821225482018
pantheonplus,H_over_H0,2.0,2.9262004306899834,2.959283734000402,2.9903055881247145,3.020470082828904,3.0508372286647685
union3,sqrt_rhoDE,0.33,1.0325530697600853,1.0603297793006352,1.0863310869765548,1.1141606319513588,1.13779652189512
union3,H_over_H0,0.33,1.2118604451621373,1.2313449545683008,1.2510910223571967,1.271282468956997,1.28854949471731
union3,sqrt_rhoDE,1.0,0.9625846412695267,0.9987221567039363,1.0334931402130332,1.0685479740365242,1.10102772003235
union3,H_over_H0,1.0,1.7749129238835264,1.799898397185753,1.8278197236703833,1.8555385899562038,1.8816533891386416
union3,sqrt_rhoDE,1.44,0.8650403466039782,0.9099318804050596,0.9573574862355793,1.0020965358784237,1.0424895191786154
union3,H_over_H0,1.44,2.258871724256421,2.286868746722359,2.31907084737255,2.3520891302771703,2.382395489834866
union3,sqrt_rhoDE,2.0,0.7327353371037583,0.7945348438359874,0.8611322569193596,0.9247121845521485,0.9759239551618194
union3,H_over_H0,2.0,2.9821505593850905,3.0174980926152797,3.0575467142615653,3.0980479006945445,3.136971257946209
desy5sn,sqrt_rhoDE,0.33,1.0319629867146416,1.045274787394908,1.0602170067281411,1.0746560264641574,1.0905598839887194
desy5sn,H_over_H0,0.33,1.2103809293049277,1.2205901318609038,1.2314321781477957,1.2417371093449772,1.253106155532368
desy5sn,sqrt_rhoDE,1.0,0.9557619897993322,0.9838998594033066,1.0101373806838572,1.0394258589803713,1.0639365919989159
desy5sn,H_over_H0,1.0,1.767252535893897,1.785394569602413,1.8024509799258865,1.8200232466449109,1.8370328820841715
desy5sn,sqrt_rhoDE,1.44,0.861832449470898,0.9035280049038645,0.9483119941991606,0.9914248566526803,1.0290672645797592
desy5sn,H_over_H0,1.44,2.2478552848659596,2.2704172715418642,2.291105314406728,2.3128310059914794,2.3326446708073854
desy5sn,sqrt_rhoDE,2.0,0.7443148948906909,0.8065263086730984,0.8687874411538195,0.9306733497676384,0.9866793636096562
desy5sn,H_over_H0,2.0,2.968858894244895,2.997483027262728,3.02180799838825,3.0478591127175525,3.073103850356134
