muse_id,z,log10_mstar_msun,log_Z_DC14_rescaled,passes_mass,passes_redshift,passes_logZ,numeric_candidate,regular_flag_publicly_available,kpc_per_arcsec,rotation_rows,rmax_kpc,rows_r_gt_2kpc,median_arot_r_gt_2kpc_m_s2
3,0.621661,10.08,16086.182165989598,True,True,False,False,False,6.995040884479591,25,19.259211143214056,22,5.3548335328102425e-11
11,1.0381529,10.25,10335.872238403786,True,True,True,True,False,8.301196825538723,25,23.119192062940655,23,5.891314155903013e-11
12,0.9969102,10.48,8272.878501688127,True,True,True,True,False,8.225482186321186,25,20.16897733622135,22,1.72291309356293e-11
13,0.9970437,9.997,11439.734252425167,True,True,True,True,False,8.225893077177998,25,21.48122236243025,22,5.397436086109072e-12
15,0.6674239,10.23,7278.536142332977,True,True,True,True,False,7.210920813109918,25,17.87459024381824,22,5.877892923555763e-11
17,0.84404457,9.352,8640.081523895933,True,True,True,True,False,7.859529760816027,25,19.39647430742662,22,1.5209293511337894e-11
21,0.89374506,9.522,6806.487246778516,True,True,True,True,False,7.995459475307123,25,20.509575011689222,22,2.922019646531931e-11
25,0.83223546,9.257,7195.693534858197,True,True,True,True,False,7.824662728527085,25,19.056401331998718,22,5.4368232458500464e-11
26,1.1348959,9.757,6819.559517613035,True,True,True,True,False,8.44473501356017,25,21.209618696255223,22,2.1262880179041965e-11
28,0.7668062,9.852,6589.949703111803,True,True,True,True,False,7.610804592652006,25,18.991703765176823,23,3.3446187868877625e-11
32,1.3067555,9.352,6789.0694385926,True,True,True,True,False,8.607752850640326,25,20.69734176383676,22,1.272105628645772e-11
36,1.2160971,9.977,nan,True,True,False,False,False,8.53534565515202,25,20.55063073407486,22,8.205412570801431e-11
37,0.9813552,8.872,8694.882942253704,True,True,True,True,False,8.195017296456323,25,20.100714494279593,22,1.740656855454506e-11
45,0.83187884,9.032,6588.164172000484,True,True,True,True,False,7.823679262196589,25,18.71233274365834,22,4.035109533215435e-11
66,0.95428216,8.447,5278.215455750462,False,True,True,False,False,8.13801880520864,25,21.832642495579957,23,1.2337314277864981e-11
72,1.0970231,8.792,7806.054337832293,False,True,True,False,False,8.39354765814409,35,28.3975307798841,32,3.761488005271992e-12
95,1.0197178,8.952,5485.382815260578,True,True,True,True,False,8.268350242221299,25,21.335374303947646,23,2.1655795736776666e-11
859,0.45588568,10.89,27894.959115536298,True,True,False,False,False,5.970680678467228,50,29.710804283361334,47,8.690469497267243e-11
863,0.34579465,9.537,2476852.7077055946,True,True,False,False,False,5.053185082984809,44,24.449332837167123,40,1.5582771583838174e-11
864,0.6686628,10.99,13334.46014004564,True,True,True,True,False,7.2182003473709635,25,17.680788200789156,22,1.284641496209817e-10
875,0.6666989,10.12,9329.803694847062,True,True,True,True,False,7.2089898401364065,25,17.979071310077945,22,6.546667578594055e-11
876,0.33338323,9.972,8895.713800567886,True,True,True,True,False,4.933766873974036,25,12.046625292104283,21,1.8154295087652343e-11
884,0.7371281,10.07,10468.069257833235,True,True,True,True,False,7.502110528904961,25,18.298352410852463,22,5.629746393595659e-11
887,0.42449337,9.882,7555.684323259657,True,True,True,True,False,5.739641290048667,25,14.447383347887198,21,7.76104702519053e-11
888,0.34341726,9.442,6578.588589617229,True,True,True,True,False,5.030601166795769,25,12.959288993423948,21,6.572645081615273e-11
899,1.0967546,10.47,7750.711889113642,True,True,True,True,False,8.393037817013639,25,20.757715608889722,23,2.9233173184883644e-11
901,0.52456486,9.452,6694.931804679006,True,True,True,True,False,6.447929403636613,25,15.958034250894762,22,5.0330867233195164e-11
905,0.6673476,10.32,6423.433060682736,True,True,True,True,False,7.212303243961019,25,17.207724457863645,22,4.109290693859902e-11
909,0.7374525,9.247,7968.201676629814,True,True,True,True,False,7.503342791571133,25,19.436663364798587,22,5.536427161526948e-12
910,0.28003624,8.562,6375.092049161504,False,False,True,False,False,4.378001555521427,25,12.084430898729655,20,1.7326829690393388e-11
911,0.6697986,9.597,7634.613403063001,True,True,True,True,False,7.223378158783491,25,18.77462079318401,22,6.87250119438836e-11
915,0.5228885,8.957,7068.384177815169,True,True,True,True,False,6.437123757482167,25,15.512755162434479,22,1.9355183202385976e-11
916,1.2884591,10.35,8403.731244933855,True,True,True,True,False,8.595177149015978,25,20.92455280710987,22,2.72973722157299e-11
918,0.43414354,8.912,7720.104939402563,True,True,True,True,False,5.813684637825824,25,14.639059120012291,21,3.7108718252658555e-12
925,1.295962,10.4,7110.679037755631,True,True,True,True,False,8.599337901653817,25,20.909159678004972,22,7.56731701999364e-11
926,0.66720974,9.257,7479.173233897611,True,True,True,True,False,7.211840519413793,25,17.93364743772604,22,2.0435104280566668e-11
927,0.52271396,9.422,6997.09766285459,True,True,True,True,False,6.436191712540596,25,16.000432128071246,22,2.5162067854345377e-11
929,1.0959085,9.387,9990.33966546862,True,True,True,True,False,8.391878735661763,25,20.79734563791371,23,2.801193818742992e-11
931,0.31023577,8.427,7045.867293478041,False,False,True,False,False,4.700503264061928,25,11.87823551260079,21,2.042295336532901e-12
933,0.96066546,9.602,7838.672940390858,True,True,True,True,False,8.151940848741681,25,20.479030058975518,22,3.118030454904732e-11
934,1.0959116,9.877,9212.967489543365,True,True,True,True,False,8.392087756228849,25,20.1351019027669,23,2.7650469956208218e-11
937,0.734574,9.347,7468.555703178571,True,True,True,True,False,7.490478581401178,25,18.22109884448956,22,3.4261477954833257e-11
939,1.2965388,10.14,9402.925917830979,True,True,True,True,False,8.600067065136514,25,22.713916405395732,22,8.829136545600463e-11
941,0.6706303,9.252,6496.63824993554,True,True,True,True,False,7.227426113765433,25,17.560755199518212,22,1.849027503416137e-11
945,0.6050775,8.742,9293.814105192365,False,True,True,False,False,6.910146267085276,25,16.885931451005053,22,1.3570907883078688e-11
947,0.95294607,9.352,7345.7796488905815,True,True,True,True,False,8.135708970573818,25,21.286054554784357,22,1.1901021952347622e-11
948,0.7353922,9.892,6533.0529527018,True,True,True,True,False,7.495382480204517,25,18.34700662975615,22,6.152560764451568e-11
952,0.95262045,9.812,6304.863134693023,True,True,True,True,False,8.134668752318818,25,20.617789661608345,23,2.125723890821377e-11
956,1.3174721,9.702,6709.325593295669,True,True,True,True,False,8.614755225562636,25,22.314884648414946,23,1.4639683217093292e-11
958,0.3386575,8.352,5960.704248628879,False,True,True,False,False,4.984594987650376,25,12.652052686288116,21,1.5564433836536015e-11
961,0.3103074,8.147,6812.0637409161145,False,False,True,False,False,4.701424578722112,25,12.319643117065114,20,3.0005373020046754e-11
963,0.53263175,8.872,7403.279257412361,True,True,True,True,False,6.497515603455484,25,16.28226024005807,22,1.5688045005467814e-11
968,1.0879908,10.06,6605.434801980782,True,True,True,True,False,8.38032272069551,25,20.54010818972927,23,4.698588784374295e-11
975,1.1121706,9.727,5478.476781685449,True,True,True,True,False,8.414891771093496,25,20.697210134982996,22,3.2774081826257405e-11
977,0.5249402,8.487,6345.904259159845,False,True,True,False,False,6.450096586319419,25,17.029351928186635,22,1.571436760731424e-11
978,0.98010784,9.202,6907.1148042429195,True,True,True,True,False,8.192632598044757,25,21.448285781788286,22,2.7874143986647256e-12
982,1.096299,9.757,5967.050994017597,True,True,True,True,False,8.392412629326996,25,20.435908843924235,23,3.184479771435463e-11
983,0.60546994,8.712,6745.6111800361305,False,True,True,False,False,6.912339076454789,25,16.810258141394538,22,2.7947421111307422e-11
987,0.66444945,8.912,6914.48430818848,True,True,True,True,False,7.199553720092766,25,19.040471423532427,22,1.5165957537359193e-11
995,1.0370439,9.407,6299.7371591883175,True,True,True,True,False,8.29779519476609,25,20.32173835384564,22,2.2424476711755175e-11
1000,1.4368285,9.512,7686.946574199914,True,True,True,True,False,8.670451995973643,25,21.375653206853837,23,1.6308593674595267e-13
1002,0.9905709,9.432,6897.808445510413,True,True,True,True,False,8.21366215974293,25,21.082608770083006,23,4.142364764254436e-11
1005,0.845896,9.227,6494.890833112096,True,True,True,True,False,7.864900666722877,25,20.37915653782169,22,4.89656862504624e-12
1007,0.669078,8.787,6121.4838296102935,False,True,True,False,False,7.220414193901968,25,17.56820806653337,22,3.5875457311526655e-12
1008,0.4357429,8.312,6332.799876182481,False,True,True,False,False,5.826370011710329,25,14.057673718345017,21,1.279665238434393e-11
1013,0.5223007,8.682,6292.717434061989,False,True,True,False,False,6.433221135420416,25,15.640813610780778,22,1.6081732811888918e-11
1022,0.73607713,8.932,6248.489855228451,True,True,True,True,False,7.498241242666009,25,18.431580983211056,22,2.1317713581939812e-11
1029,1.0373907,9.527,6391.264877111214,True,True,True,True,False,8.299638130239504,25,20.951382966498965,23,2.027344326208894e-11
1031,1.2445835,9.657,6545.862510026492,True,True,True,True,False,8.560703543723921,25,21.277340572465366,23,4.857279386013688e-11
1035,0.6823666,9.037,6426.729760782604,True,True,True,True,False,7.279111461304762,25,17.605352543726774,22,2.553241794394526e-11
1037,0.66445965,8.667,6638.090294913276,False,True,True,False,False,7.199605551022195,25,19.290599581235668,22,1.1453653748202442e-11
1040,0.6644698,8.727,5608.6904890640635,False,True,True,False,False,7.199402469814577,25,20.844305447045286,23,2.344662717513099e-11
1041,1.4255874,9.402,6483.801000176586,True,True,True,True,False,8.666719150015535,25,21.582080896494926,23,5.76090657621449e-11
1046,1.088363,9.302,6305.264170386329,True,True,True,True,False,8.38087545497853,25,21.171784227939906,23,1.0829190734533441e-11
1047,0.9540276,8.897,6287.596005057172,True,True,True,True,False,8.137587518727296,25,19.98258962543612,22,4.6291975288797973e-11
1053,1.0228659,9.167,6348.227337300689,True,True,True,True,False,8.274035064534809,25,19.776754793943073,22,2.3950544037378886e-11
1060,0.6225554,8.927,6328.575648925566,True,True,True,True,False,6.999769720183525,25,17.224571159951438,22,2.6062444521192895e-11
1064,1.4257085,9.707,6113.300316334175,True,True,True,True,False,8.666793014116493,25,21.67488153471491,23,4.3404005464662756e-11
1065,0.52165216,8.307,6364.412914658011,False,True,True,False,False,6.429223877977354,25,16.234310673018474,22,5.461572581030695e-12
1068,0.52283573,8.347,5343.3076451659435,False,True,True,False,False,6.436381474550548,25,18.117800761500266,22,2.0244875038625208e-11
1076,1.0977324,9.242,6454.183955960663,True,True,True,True,False,8.39462681008367,25,20.585641958280963,23,1.4494081749808928e-11
1081,0.55973244,8.297,5773.191149305317,False,True,True,False,False,6.660465967424258,25,16.235271211328943,22,1.2673199693753819e-11
1082,1.2458475,9.402,6450.765375288378,True,True,True,True,False,8.561653344449,25,21.781624912203096,23,9.534139495268669e-12
1086,0.66711795,8.907,6796.120498521833,True,True,True,True,False,7.211124601922104,25,18.1661540140897,22,4.485479769681624e-12
1089,1.033495,9.137,5864.807672252734,True,True,True,True,False,8.292858105140303,25,21.996754435611237,23,1.6436929725690296e-11
1091,1.3148444,9.352,6399.469020740954,True,True,True,True,False,8.613011382290928,25,20.94910151878099,23,4.365778745184116e-12
1097,1.0938272,9.307,6137.094435887067,True,True,True,True,False,8.38889523843596,25,20.363608478791907,22,2.061389159967478e-11
1101,1.3538154,9.427,4317.18107603257,True,True,True,True,False,8.635825641406969,25,21.128512687483845,22,2.5093236463499552e-11
1119,0.86290014,8.612,4014.7701270907987,False,True,True,False,False,7.91318749335735,25,20.531310318850515,22,6.485889001756174e-12
1127,1.4378492,9.652,5741.136866402729,True,True,True,True,False,8.67077496990984,25,21.251644775540502,23,8.693020404660924e-12
1129,1.0946922,9.127,6284.911938634799,True,True,True,True,False,8.390185246906086,25,21.039442971726015,23,2.8949769385983316e-12
1130,0.73155034,8.432,6437.818592032299,False,True,True,False,False,7.4807686387149435,25,18.43111493861336,22,2.7402663583986833e-11
1131,0.6213042,8.397,6261.349465680386,False,True,True,False,False,6.993593026299688,25,17.662390633665005,23,1.6610950615179014e-11
1137,1.0959014,9.357,5437.165957530737,True,True,True,True,False,8.391847320232346,25,21.262393437795257,23,3.067678295277435e-11
1153,1.0947274,9.547,5133.122831610979,True,True,True,True,False,8.390144389432457,25,20.034298776339114,22,2.8209138705497238e-11
1160,0.43125707,7.872,6806.79903065393,False,True,True,False,False,5.791714722991455,25,15.557982898165648,22,1.4136524507726448e-11
1165,0.6653242,8.532,5939.375571904957,False,True,True,False,False,7.203517144397134,25,18.62445881202661,22,7.483668393859534e-12
1191,1.0159926,8.962,6498.696894813572,True,True,True,True,False,8.261738633636993,25,20.08239807876765,22,1.5027496216912277e-11
1198,0.34764394,7.757,6254.357638356797,False,True,True,False,False,5.0708884377334424,25,12.165506714779726,21,4.830723768966343e-12
1201,0.8589362,8.757,6229.210855220464,False,True,True,False,False,7.901698591465453,25,20.81335259044848,23,8.275242949139955e-12
1203,0.73615825,8.587,6426.452157426317,False,True,True,False,False,7.498238292731582,25,18.387703412538098,23,1.715517589120352e-11
1214,1.4255044,9.152,4952.9092759961,True,True,True,True,False,8.66691483391541,25,21.634937181596214,23,1.0690673950047628e-11
1232,1.0933329,9.082,6205.398420931111,True,True,True,True,False,8.388245582622087,25,20.858543776777672,23,8.909724431626379e-12
1258,1.4155946,9.097,5668.7945584658,True,True,True,True,False,8.66313837443187,25,21.82190515809706,23,1.931024494989515e-11
1266,1.3063163,9.052,5525.7404615588985,True,True,True,True,False,8.607488132423475,25,21.395278037864042,22,1.4224857258599429e-11
1284,0.9611513,8.957,6418.820446759702,True,True,True,True,False,8.153071521712972,25,20.361452550684692,23,3.1817896588812544e-11
1318,0.93294024,8.552,6625.546954573541,False,True,True,False,False,8.090435768105875,25,18.961012625405612,22,1.9843270830977165e-11
1330,1.3063082,8.907,6687.6276830217985,True,True,True,True,False,8.60838699928847,25,20.529613647471592,22,4.181719682765853e-12
1337,1.0361128,8.972,6080.378245989774,True,True,True,True,False,8.297552777065457,25,20.512878558635823,22,2.0161831485250722e-11
1346,0.6636168,8.237,6324.006202351789,False,True,True,False,False,7.19368374413735,25,17.222650149735724,22,2.5705726963566584e-11
1357,0.38285485,7.332,5795.593916011147,False,True,True,False,False,5.391348315911636,25,13.818355293489802,21,1.1247208772851292e-11
1371,nan,nan,4986.603013437124,False,False,True,False,False,8.655186184068299,25,20.663996280730373,22,3.338354200903422e-11
1390,1.3411896,9.132,6206.368536231489,True,True,True,True,False,8.628761384466701,25,23.798728800472674,23,1.1791749004256016e-11
1418,0.53296536,8.172,6368.038708982747,False,True,True,False,False,6.50018205323143,25,15.969728432288521,22,5.812742299324502e-12
1462,0.41904458,7.707,6496.203572621113,False,True,True,False,False,5.695153658455185,25,14.326884062583941,21,5.515986476004199e-12
6314,nan,nan,5474.61757174567,False,False,True,False,False,8.469399038165461,25,20.53924477412458,22,1.571793028187156e-11
6877,0.73435026,9.307,7562.026927859346,True,True,True,True,False,7.49134914331542,25,18.09433715037449,22,3.422531431861189e-11
6879,1.4265369,9.337,6742.133542872388,True,True,True,True,False,8.667104551888631,25,22.10638369948626,23,2.8260277370835767e-11
6881,1.136561,9.242,6620.344177827222,True,True,True,True,False,8.446835957010022,25,21.035651079144998,23,2.505196584319371e-11
6927,1.4165387,8.677,5183.743916425054,False,True,True,False,False,8.663372240696457,25,21.164409955269125,23,1.1652589256283049e-11
6943,1.2205966,10.02,6461.132577363994,True,True,True,True,False,8.53917818533361,25,20.891486986377025,22,1.0747193628599382e-11
6949,0.90704346,8.557,6626.914063489061,False,True,True,False,False,8.028501617160371,25,19.600181253641733,22,4.562363887539091e-13
6953,1.0373474,8.762,6094.3954639275935,False,True,True,False,False,8.299735391807474,25,21.234060966130432,23,1.6491517991547655e-11
6987,0.83247685,8.647,4981.114751072249,False,True,True,False,False,7.825332848841516,25,20.074067556394773,22,2.3832802457621914e-12
7055,1.1876212,8.717,6810.991104746569,False,True,True,False,False,8.506126001627093,25,20.85044408492355,23,4.7295736955933445e-12
7382,1.0938524,9.512,6287.503823845099,True,True,True,True,False,8.388896979197284,25,20.745348293900445,23,1.1939836257606469e-11
